N,Algorithm,Version,Threads,Time(s),Speedup,BlockSize,Result
1000,ijk,Serial,1,1.222602,1.000000,0,Valid
1000,ijk,Serial,1,1.172004,1.043172,0,Valid
1000,ijk,Parallel,4,0.375817,3.118550,0,Valid
1000,ijk,Parallel,6,0.302116,3.879318,0,Valid
1000,ijk,Parallel,8,0.292902,4.001352,0,Valid
1000,ijk,Parallel,10,0.283991,4.126905,0,Valid
1000,ijk,Parallel,16,0.278588,4.206944,0,Valid
1000,ikj,Serial,1,0.275762,4.433541,0,Valid
1000,ikj,Parallel,4,0.074251,3.713916,0,Valid
1000,ikj,Parallel,6,0.057263,4.815710,0,Valid
1000,ikj,Parallel,8,0.050421,5.469189,0,Valid
1000,ikj,Parallel,10,0.047051,5.860917,0,Valid
1000,ikj,Parallel,16,0.049005,5.627222,0,Valid
1000,jik,Serial,1,1.220495,1.001726,0,Valid
1000,jik,Parallel,4,0.468920,2.602779,0,Valid
1000,jik,Parallel,6,0.343709,3.550954,0,Valid
1000,jik,Parallel,8,0.322784,3.781151,0,Valid
1000,jik,Parallel,10,0.325786,3.746309,0,Valid
1000,jik,Parallel,16,0.322247,3.787452,0,Valid
1000,jki,Serial,1,5.067007,0.241287,0,Valid
1000,jki,Parallel,4,1.561319,3.245337,0,Valid
1000,jki,Parallel,6,1.110436,4.563079,0,Valid
1000,jki,Parallel,8,1.051921,4.816908,0,Valid
1000,jki,Parallel,10,0.938935,5.396547,0,Valid
1000,jki,Parallel,16,0.932550,5.433496,0,Valid
1000,kij,Serial,1,0.298575,4.094790,0,Valid
1000,kij,Parallel,4,0.077441,3.855516,0,Valid
1000,kij,Parallel,6,0.059369,5.029140,0,Valid
1000,kij,Parallel,8,0.050302,5.935649,0,Valid
1000,kij,Parallel,10,0.046528,6.417104,0,Valid
1000,kij,Parallel,16,0.044930,6.645337,0,Valid
1000,kji,Serial,1,4.902510,0.249383,0,Valid
1000,kji,Parallel,4,1.418983,3.454946,0,Valid
1000,kji,Parallel,6,1.107992,4.424680,0,Valid
1000,kji,Parallel,8,1.000171,4.901672,0,Valid
1000,kji,Parallel,10,0.933040,5.254341,0,Valid
1000,kji,Parallel,16,0.937265,5.230655,0,Valid
1000,Blocked,Serial,1,0.434872,2.811407,16,Valid
1000,Blocked,Parallel,4,0.117743,3.693400,16,Valid
1000,Blocked,Parallel,6,0.099030,4.391316,16,Valid
1000,Blocked,Parallel,8,0.082767,5.254171,16,Valid
1000,Blocked,Parallel,10,0.075962,5.724862,16,Valid
1000,Blocked,Parallel,16,0.072505,5.997821,16,Valid
1000,Blocked,Serial,1,0.374181,3.267408,32,Valid
1000,Blocked,Parallel,4,0.124540,3.004505,32,Valid
1000,Blocked,Parallel,6,0.083589,4.476438,32,Valid
1000,Blocked,Parallel,8,0.066453,5.630762,32,Valid
1000,Blocked,Parallel,10,0.064319,5.817581,32,Valid
1000,Blocked,Parallel,16,0.058867,6.356380,32,Valid
1000,Blocked,Serial,1,0.334008,3.660397,64,Valid
1000,Blocked,Parallel,4,0.098105,3.404597,64,Valid
1000,Blocked,Parallel,6,0.075447,4.427055,64,Valid
1000,Blocked,Parallel,8,0.066271,5.040033,64,Valid
1000,Blocked,Parallel,10,0.056050,5.959108,64,Valid
1000,Blocked,Parallel,16,0.054897,6.084267,64,Valid
1000,Blocked,Serial,1,0.341668,3.578333,128,Valid
1000,Blocked,Parallel,4,0.096197,3.551753,128,Valid
1000,Blocked,Parallel,6,0.075716,4.512494,128,Valid
1000,Blocked,Parallel,8,0.062325,5.482038,128,Valid
1000,Blocked,Parallel,10,0.060652,5.633252,128,Valid
1000,Blocked,Parallel,16,0.051731,6.604705,128,Valid
1000,Blocked,Serial,1,0.325055,3.761216,256,Valid
1000,Blocked,Parallel,4,0.089267,3.641379,256,Valid
1000,Blocked,Parallel,6,0.072456,4.486240,256,Valid
1000,Blocked,Parallel,8,0.058967,5.512490,256,Valid
1000,Blocked,Parallel,10,0.057227,5.680099,256,Valid
1000,Blocked,Parallel,16,0.052422,6.200736,256,Valid
1500,ijk,Serial,1,3.694889,1.000000,0,Valid
1500,ijk,Serial,1,3.657012,1.010357,0,Valid
1500,ijk,Parallel,4,1.204161,3.036979,0,Valid
1500,ijk,Parallel,6,1.084611,3.371727,0,Valid
1500,ijk,Parallel,8,0.988944,3.697896,0,Valid
1500,ijk,Parallel,10,0.981674,3.725282,0,Valid
1500,ijk,Parallel,16,0.966028,3.785617,0,Valid
1500,ikj,Serial,1,0.966128,3.824430,0,Valid
1500,ikj,Parallel,4,0.258739,3.733987,0,Valid
1500,ikj,Parallel,6,0.202121,4.779949,0,Valid
1500,ikj,Parallel,8,0.181791,5.314499,0,Valid
1500,ikj,Parallel,10,0.162690,5.938460,0,Valid
1500,ikj,Parallel,16,0.161290,5.990006,0,Valid
1500,jik,Serial,1,3.828937,0.964991,0,Valid
1500,jik,Parallel,4,1.125846,3.400942,0,Valid
1500,jik,Parallel,6,0.961541,3.982084,0,Valid
1500,jik,Parallel,8,0.912360,4.196739,0,Valid
1500,jik,Parallel,10,0.918643,4.168036,0,Valid
1500,jik,Parallel,16,0.872994,4.385983,0,Valid
1500,jki,Serial,1,14.900549,0.247970,0,Valid
1500,jki,Parallel,4,4.190066,3.556161,0,Valid
1500,jki,Parallel,6,3.161743,4.712764,0,Valid
1500,jki,Parallel,8,2.815132,5.293020,0,Valid
1500,jki,Parallel,10,2.621962,5.682977,0,Valid
1500,jki,Parallel,16,2.553259,5.835894,0,Valid
1500,kij,Serial,1,1.081318,3.417023,0,Valid
1500,kij,Parallel,4,0.268096,4.033324,0,Valid
1500,kij,Parallel,6,0.213795,5.057733,0,Valid
1500,kij,Parallel,8,0.171186,6.316626,0,Valid
1500,kij,Parallel,10,0.161845,6.681195,0,Valid
1500,kij,Parallel,16,0.150255,7.196553,0,Valid
1500,kji,Serial,1,15.077149,0.245065,0,Valid
1500,kji,Parallel,4,4.373338,3.447515,0,Valid
1500,kji,Parallel,6,3.215997,4.688173,0,Valid
1500,kji,Parallel,8,2.941110,5.126347,0,Valid
1500,kji,Parallel,10,2.861682,5.268632,0,Valid
1500,kji,Parallel,16,2.971280,5.074294,0,Valid
1500,Blocked,Serial,1,1.303361,2.834893,16,Valid
1500,Blocked,Parallel,4,0.333825,3.904324,16,Valid
1500,Blocked,Parallel,6,0.257945,5.052864,16,Valid
1500,Blocked,Parallel,8,0.238993,5.453553,16,Valid
1500,Blocked,Parallel,10,0.209050,6.234685,16,Valid
1500,Blocked,Parallel,16,0.214979,6.062736,16,Valid
1500,Blocked,Serial,1,1.047995,3.525674,32,Valid
1500,Blocked,Parallel,4,0.283190,3.700678,32,Valid
1500,Blocked,Parallel,6,0.221076,4.740429,32,Valid
1500,Blocked,Parallel,8,0.218996,4.785453,32,Valid
1500,Blocked,Parallel,10,0.215611,4.860582,32,Valid
1500,Blocked,Parallel,16,0.181906,5.761190,32,Valid
1500,Blocked,Serial,1,1.156450,3.195027,64,Valid
1500,Blocked,Parallel,4,0.384873,3.004757,64,Valid
1500,Blocked,Parallel,6,0.254037,4.552290,64,Valid
1500,Blocked,Parallel,8,0.224071,5.161087,64,Valid
1500,Blocked,Parallel,10,0.193469,5.977443,64,Valid
1500,Blocked,Parallel,16,0.178514,6.478203,64,Valid
1500,Blocked,Serial,1,1.192911,3.097372,128,Valid
1500,Blocked,Parallel,4,0.346701,3.440749,128,Valid
1500,Blocked,Parallel,6,0.268286,4.446415,128,Valid
1500,Blocked,Parallel,8,0.235969,5.055372,128,Valid
1500,Blocked,Parallel,10,0.208315,5.726477,128,Valid
1500,Blocked,Parallel,16,0.232637,5.127778,128,Valid
1500,Blocked,Serial,1,1.150433,3.211738,256,Valid
1500,Blocked,Parallel,4,0.317295,3.625752,256,Valid
1500,Blocked,Parallel,6,0.225965,5.091200,256,Valid
1500,Blocked,Parallel,8,0.214279,5.368856,256,Valid
1500,Blocked,Parallel,10,0.184281,6.242819,256,Valid
1500,Blocked,Parallel,16,0.179023,6.426174,256,Valid
2000,ijk,Serial,1,74.785990,1.000000,0,Valid
2000,ijk,Serial,1,63.538387,1.177021,0,Valid
2000,ijk,Parallel,4,30.642829,2.073516,0,Valid
2000,ijk,Parallel,6,16.677899,3.809736,0,Valid
2000,ijk,Parallel,8,12.281936,5.173320,0,Valid
2000,ijk,Parallel,10,11.507611,5.521423,0,Valid
2000,ijk,Parallel,16,11.687710,5.436342,0,Valid
2000,ikj,Serial,1,2.164566,34.550108,0,Valid
2000,ikj,Parallel,4,0.567967,3.811077,0,Valid
2000,ikj,Parallel,6,0.445291,4.861014,0,Valid
2000,ikj,Parallel,8,0.393893,5.495315,0,Valid
2000,ikj,Parallel,10,0.364021,5.946267,0,Valid
2000,ikj,Parallel,16,0.361106,5.994268,0,Valid
2000,jik,Serial,1,21.948869,3.407282,0,Valid
2000,jik,Parallel,4,7.743905,2.834341,0,Valid
2000,jik,Parallel,6,8.026686,2.734487,0,Valid
2000,jik,Parallel,8,7.751435,2.831588,0,Valid
2000,jik,Parallel,10,7.686451,2.855527,0,Valid
2000,jik,Parallel,16,7.766021,2.826270,0,Valid
2000,jki,Serial,1,43.476439,1.720150,0,Valid
2000,jki,Parallel,4,14.669978,2.963634,0,Valid
2000,jki,Parallel,6,12.295611,3.535932,0,Valid
2000,jki,Parallel,8,11.749953,3.700137,0,Valid
2000,jki,Parallel,10,12.001770,3.622502,0,Valid
2000,jki,Parallel,16,12.040772,3.610768,0,Valid
2000,kij,Serial,1,2.426242,30.823797,0,Valid
2000,kij,Parallel,4,0.605832,4.004810,0,Valid
2000,kij,Parallel,6,0.450181,5.389481,0,Valid
2000,kij,Parallel,8,0.388497,6.245201,0,Valid
2000,kij,Parallel,10,0.369880,6.559538,0,Valid
2000,kij,Parallel,16,0.357918,6.778765,0,Valid
2000,kji,Serial,1,46.973433,1.592091,0,Valid
2000,kji,Parallel,4,14.649805,3.206420,0,Valid
2000,kji,Parallel,6,11.926051,3.938725,0,Valid
2000,kji,Parallel,8,12.979259,3.619115,0,Valid
2000,kji,Parallel,10,12.184423,3.855204,0,Valid
2000,kji,Parallel,16,12.233154,3.839846,0,Valid
2000,Blocked,Serial,1,3.855262,19.398420,16,Valid
2000,Blocked,Parallel,4,1.168651,3.298899,16,Valid
2000,Blocked,Parallel,6,0.876453,4.398709,16,Valid
2000,Blocked,Parallel,8,0.752026,5.126501,16,Valid
2000,Blocked,Parallel,10,0.695305,5.544706,16,Valid
2000,Blocked,Parallel,16,0.661191,5.830784,16,Valid
2000,Blocked,Serial,1,3.034483,24.645381,32,Valid
2000,Blocked,Parallel,4,0.900134,3.371146,32,Valid
2000,Blocked,Parallel,6,0.691807,4.386314,32,Valid
2000,Blocked,Parallel,8,0.574473,5.282203,32,Valid
2000,Blocked,Parallel,10,0.513519,5.909193,32,Valid
2000,Blocked,Parallel,16,0.488286,6.214561,32,Valid
2000,Blocked,Serial,1,2.716611,27.529149,64,Valid
2000,Blocked,Parallel,4,0.837824,3.242460,64,Valid
2000,Blocked,Parallel,6,0.607781,4.469720,64,Valid
2000,Blocked,Parallel,8,0.514304,5.282111,64,Valid
2000,Blocked,Parallel,10,0.464840,5.844185,64,Valid
2000,Blocked,Parallel,16,0.444521,6.111322,64,Valid
2000,Blocked,Serial,1,2.831305,26.413965,128,Valid
2000,Blocked,Parallel,4,0.787692,3.594432,128,Valid
2000,Blocked,Parallel,6,0.589889,4.799725,128,Valid
